Date,Close
1/2/2020 16:00,89.35
1/3/2020 16:00,88.83
1/6/2020 16:00,88.13
1/7/2020 16:00,87.86
1/8/2020 16:00,88.88
1/9/2020 16:00,90.53
1/10/2020 16:00,90.16
1/13/2020 16:00,91.08
1/14/2020 16:00,90.99
1/15/2020 16:00,91.54
1/16/2020 16:00,92.58
1/17/2020 16:00,93.62
1/21/2020 16:00,92.53
1/22/2020 16:00,92.53
1/23/2020 16:00,93.75
1/24/2020 16:00,92.03
1/27/2020 16:00,88.73
1/28/2020 16:00,88.6
1/29/2020 16:00,86.72
1/30/2020 16:00,85.84
1/31/2020 16:00,84.83
2/3/2020 16:00,86.01
2/4/2020 16:00,88.38
2/5/2020 16:00,87.56
2/6/2020 16:00,86.15
2/7/2020 16:00,86.42
2/10/2020 16:00,87.53
2/11/2020 16:00,87.51
2/12/2020 16:00,88.57
2/13/2020 16:00,89.93
2/14/2020 16:00,89.28
2/18/2020 16:00,89.23
2/19/2020 16:00,90.14
2/20/2020 16:00,88.6
2/21/2020 16:00,87.36
2/24/2020 16:00,84.52
2/25/2020 16:00,82.19
2/26/2020 16:00,80.67
2/27/2020 16:00,78.29
2/28/2020 16:00,78.43
3/2/2020 16:00,82.38
3/3/2020 16:00,78.6
3/4/2020 16:00,79.67
3/5/2020 16:00,76.19
3/6/2020 16:00,75.34
3/9/2020 16:00,70.83
3/10/2020 16:00,74.87
3/11/2020 16:00,68.3
3/12/2020 16:00,62.1
3/13/2020 16:00,69.92
3/16/2020 16:00,58.59
3/17/2020 16:00,58.98
3/18/2020 16:00,56.33
3/19/2020 16:00,61.41
3/20/2020 16:00,58.03
3/23/2020 16:00,56.55
3/24/2020 16:00,64.88
3/25/2020 16:00,65.81
3/26/2020 16:00,69.9
3/27/2020 16:00,66.34
3/30/2020 16:00,67.86
3/31/2020 16:00,65.74
4/1/2020 16:00,62.62
4/2/2020 16:00,65
4/3/2020 16:00,63.05
4/6/2020 16:00,67.79
4/7/2020 16:00,68.71
4/8/2020 16:00,71.57
4/9/2020 16:00,73.88
4/13/2020 16:00,71.76
4/14/2020 16:00,73.67
4/15/2020 16:00,72.55
4/16/2020 16:00,73.51
4/17/2020 16:00,77.1
4/20/2020 16:00,75.32
4/21/2020 16:00,72.72
4/22/2020 16:00,77.45
4/23/2020 16:00,75.15
4/24/2020 16:00,75.58
4/27/2020 16:00,77.74
4/28/2020 16:00,78.69
4/29/2020 16:00,76.86
4/30/2020 16:00,76.73
5/1/2020 16:00,73.79
5/4/2020 16:00,71.89
5/5/2020 16:00,72.9
5/6/2020 16:00,72.96
5/7/2020 16:00,76
5/8/2020 16:00,77.87
5/11/2020 16:00,75.87
5/12/2020 16:00,74.35
5/13/2020 16:00,73.62
5/14/2020 16:00,74.19
5/15/2020 16:00,74.16
5/18/2020 16:00,76.23
5/19/2020 16:00,75.86
5/20/2020 16:00,77.76
5/21/2020 16:00,78.05
5/22/2020 16:00,77.62
5/26/2020 16:00,77.76
5/27/2020 16:00,78.6
5/28/2020 16:00,78.54
5/29/2020 16:00,77.99
6/1/2020 16:00,78.32
6/2/2020 16:00,77.78
6/3/2020 16:00,79.58
6/4/2020 16:00,78.74
6/5/2020 16:00,82.14
6/8/2020 16:00,83.56
6/9/2020 16:00,82.37
6/10/2020 16:00,79.01
6/11/2020 16:00,72.57
6/12/2020 16:00,76.38
6/15/2020 16:00,76.96
6/16/2020 16:00,77.84
6/17/2020 16:00,77.1
6/18/2020 16:00,76.31
6/19/2020 16:00,75.4
6/22/2020 16:00,75.4
6/23/2020 16:00,75.49
6/24/2020 16:00,73.64
6/25/2020 16:00,73.85
6/26/2020 16:00,71.57
6/29/2020 16:00,73.48
6/30/2020 16:00,73.59
7/1/2020 16:00,74.03
7/2/2020 16:00,73.78
7/6/2020 16:00,75.44
7/7/2020 16:00,74.25
7/8/2020 16:00,74.14
7/9/2020 16:00,73.57
7/10/2020 16:00,74.29
7/13/2020 16:00,72.65
7/14/2020 16:00,72.73
7/15/2020 16:00,75.61
7/16/2020 16:00,74.39
7/17/2020 16:00,74.16
7/20/2020 16:00,74.96
7/21/2020 16:00,75.44
7/22/2020 16:00,77.24
7/23/2020 16:00,75.36
7/24/2020 16:00,75.78
7/27/2020 16:00,76.46
7/28/2020 16:00,74.64
7/29/2020 16:00,77.42
7/30/2020 16:00,76.64
7/31/2020 16:00,76.53
8/3/2020 16:00,75.5
8/4/2020 16:00,75.13
8/5/2020 16:00,75.78
8/6/2020 16:00,75.66
8/7/2020 16:00,75.79
8/10/2020 16:00,77.47
8/11/2020 16:00,78.87
8/12/2020 16:00,79.29
8/13/2020 16:00,79.02
8/14/2020 16:00,78.37
8/17/2020 16:00,78.95
8/18/2020 16:00,78.99
8/19/2020 16:00,77.63
8/20/2020 16:00,77.22
8/21/2020 16:00,77.07
8/24/2020 16:00,78.68
8/25/2020 16:00,82.72
8/26/2020 16:00,82.41
8/27/2020 16:00,83.41
8/28/2020 16:00,85
8/31/2020 16:00,84.47
9/1/2020 16:00,86.05
9/2/2020 16:00,88.35
9/3/2020 16:00,86.48
9/4/2020 16:00,86.27
9/8/2020 16:00,85.41
9/9/2020 16:00,85.86
9/10/2020 16:00,84.88
9/11/2020 16:00,85.27
9/14/2020 16:00,86.63
9/15/2020 16:00,87.71
9/16/2020 16:00,88.38
9/17/2020 16:00,86.75
9/18/2020 16:00,84.95
9/21/2020 16:00,83.89
9/22/2020 16:00,83.95
9/23/2020 16:00,82.99
9/24/2020 16:00,83.04
9/25/2020 16:00,84.3
9/28/2020 16:00,86.07
9/29/2020 16:00,84.8
9/30/2020 16:00,85.92
10/1/2020 16:00,86.74
10/2/2020 16:00,86.57
10/5/2020 16:00,88.47
10/6/2020 16:00,87.01
10/7/2020 16:00,88.45
10/8/2020 16:00,89.53
10/9/2020 16:00,90.01
