Date,Close
1/2/2020 16:00,54.84
1/3/2020 16:00,54.35
1/6/2020 16:00,54.13
1/7/2020 16:00,54.29
1/8/2020 16:00,54.37
1/9/2020 16:00,54.3
1/10/2020 16:00,53.94
1/13/2020 16:00,53.99
1/14/2020 16:00,54.49
1/15/2020 16:00,55.03
1/16/2020 16:00,55.3
1/17/2020 16:00,55.01
1/21/2020 16:00,53.54
1/22/2020 16:00,53.48
1/23/2020 16:00,55.4
1/24/2020 16:00,56.55
1/27/2020 16:00,56.25
1/28/2020 16:00,57.6
1/29/2020 16:00,56.89
1/30/2020 16:00,55.83
1/31/2020 16:00,54.98
2/3/2020 16:00,55.22
2/4/2020 16:00,55.68
2/5/2020 16:00,56.95
2/6/2020 16:00,57.72
2/7/2020 16:00,57.26
2/10/2020 16:00,57.42
2/11/2020 16:00,57.93
2/12/2020 16:00,58.48
2/13/2020 16:00,58.54
2/14/2020 16:00,57.97
2/18/2020 16:00,57.6
2/19/2020 16:00,57.11
2/20/2020 16:00,56.94
2/21/2020 16:00,56.53
2/24/2020 16:00,54.11
2/25/2020 16:00,49.66
2/26/2020 16:00,48.9
2/27/2020 16:00,46.63
2/28/2020 16:00,46.19
3/2/2020 16:00,46.95
3/3/2020 16:00,45.21
3/4/2020 16:00,46.93
3/5/2020 16:00,45.25
3/6/2020 16:00,45.73
3/9/2020 16:00,43.62
3/10/2020 16:00,45.56
3/11/2020 16:00,42.49
3/12/2020 16:00,36.07
3/13/2020 16:00,41.28
3/16/2020 16:00,37.52
3/17/2020 16:00,38.25
3/18/2020 16:00,35.15
3/19/2020 16:00,30.86
3/20/2020 16:00,31.94
3/23/2020 16:00,33.73
3/24/2020 16:00,37.66
3/25/2020 16:00,39.4
3/26/2020 16:00,41.23
3/27/2020 16:00,36.38
3/30/2020 16:00,35.1
3/31/2020 16:00,35.61
4/1/2020 16:00,32.04
4/2/2020 16:00,31.5
4/3/2020 16:00,30.54
4/6/2020 16:00,30.7
4/7/2020 16:00,32.77
4/8/2020 16:00,34.3
4/9/2020 16:00,36.47
4/13/2020 16:00,34.26
4/14/2020 16:00,34.78
4/15/2020 16:00,32.82
4/16/2020 16:00,30.68
4/17/2020 16:00,31.19
4/20/2020 16:00,31.06
4/21/2020 16:00,30.11
4/22/2020 16:00,29.71
4/23/2020 16:00,30.14
4/24/2020 16:00,29.33
4/27/2020 16:00,29.11
4/28/2020 16:00,29.69
4/29/2020 16:00,30.97
4/30/2020 16:00,31.25
5/1/2020 16:00,29.23
5/4/2020 16:00,27.56
